EntrezID	GeneSymbol	Zuber_Essential_new	GeneAliases	Chromosom
6154	RPL26	essential_core	DBA11|L26	17p13.1
6155	RPL27	essential_core	L27	17q21.31
6157	RPL27A	essential_core	L27A	11p15.4
6159	RPL29	essential_core	HIP|HUMRPL29|L29|RPL29P10|RPL29_3_370	3p21.2
6160	RPL31	essential_core	L31	2q11.2
6161	RPL32	essential_core	L32|PP9932	3p25.2
6164	RPL34	essential_core	L34	4q25
6167	RPL37	essential_core	L37	5p13.1
6168	RPL37A	essential_core	L37A	2q35
6169	RPL38	essential_core	L38	17q25.1
6175	RPLP0	essential_core	L10E|LP0|P0|PRLP0|RPP0	12q24.23
6181	RPLP2	essential_core	D11S2243E|LP2|P2|RPP2	11p15.5
6183	MRPS12	essential_core	MPR-S12|MT-RPS12|RPMS12|RPS12|RPSM12	19q13.2
6184	RPN1	essential_core	OST1|RBPH1	3q21.3
6188	RPS3	essential_core	S3	11q13.4
6191	RPS4X	essential_core	CCG2|DXS306|RPS4|S4|SCAR|SCR10	Xq13.1
6202	RPS8	essential_core	S8	1p34.1
6203	RPS9	essential_core	S9	19q13.42
6204	RPS10	essential_core	DBA9|S10	6p21.31
6205	RPS11	essential_core	S11	19q13.33
6206	RPS12	essential_core	S12	6q23.2
6207	RPS13	essential_core	S13	11p15.1
6208	RPS14	essential_core	EMTB|S14	5q33.1
6209	RPS15	essential_core	RIG|S15	19p13.3
6210	RPS15A	essential_core	S15a	16p12.3
6217	RPS16	essential_core	S16	19q13.2
6222	RPS18	essential_core	D6S218E|HKE3|KE-3|KE3|S18	6p21.32
6223	RPS19	essential_core	DBA|DBA1|S19	19q13.2
6227	RPS21	essential_core	HLDF|S21	20q13.33
6228	RPS23	essential_core	S23	5q14.2
6231	RPS26	essential_core	DBA10|S26	12q13.2
6233	RPS27A	essential_core	CEP80|HEL112|S27A|UBA80|UBC|UBCEP1|UBCEP80	2p16.1
6235	RPS29	essential_core	DBA13|S29	14q21.3
6240	RRM1	essential_core	R1|RIR1|RR1	11p15.4
6241	RRM2	essential_core	R2|RR2|RR2M	2p25.1
6301	SARS	essential_core	SERRS|SERS	1p13.3
6421	SFPQ	essential_core	POMP100|PPP1R140|PSF	1p34.3
6426	SRSF1	essential_core	ASF|SF2|SF2p33|SFRS1|SRp30a	17q22
6427	SRSF2	essential_core	PR264|SC-35|SC35|SFRS2|SFRS2A|SRp30b	17q25.1
6428	SRSF3	essential_core	SFRS3|SRp20	6p21.31-p21.2
6432	SRSF7	essential_core	9G8|AAG3|SFRS7	2p22.1
6500	SKP1	essential_core	EMC19|OCP-II|OCP2|SKP1A|TCEB1L|p19A	5q31.1
6613	SUMO2	essential_core	HSMT3|SMT3B|SMT3H2|SUMO3|Smt3A	17q25.1
6619	SNAPC3	essential_core	PTFbeta|SNAP50	9p22.3
6625	SNRNP70	essential_core	RNPU1Z|RPU1|SNRP70|Snp1|U1-70K|U170K|U1AP|U1RNP	19q13.33
6627	SNRPA1	essential_core	Lea1	15q26.3
6628	SNRPB	essential_core	CCMS|COD|SNRPB1|Sm-B/B'|SmB/B'|SmB/SmB'|snRNP-B	20p13
6631	SNRPC	essential_core	U1C|Yhc1	6p21.31
6632	SNRPD1	essential_core	HsT2456|SMD1|SNRPD|Sm-D1	18q11.2
6633	SNRPD2	essential_core	SMD2|SNRPD1|Sm-D2	19q13.32
6634	SNRPD3	essential_core	SMD3|Sm-D3	22q11.23
6636	SNRPF	essential_core	SMF|Sm-F|snRNP-F	12q23.1
6647	SOD1	essential_core	ALS|ALS1|HEL-S-44|IPOA|SOD|hSod1|homodimer	21q22.11
6651	SON	essential_core	BASS1|C21orf50|DBP-5|NREBP|SON3|TOKIMS	21q22.11
6731	SRP72	essential_core	BMFF|BMFS1|HEL103	4q12
6749	SSRP1	essential_core	FACT|FACT80|T160	11q12.1
6790	AURKA	essential_core	AIK|ARK1|AURA|BTAK|PPP1R47|STK15|STK6|STK7	20q13.2
6832	SUPV3L1	essential_core	SUV3	10q22.1
6904	TBCD	essential_core	PEBAT|SSD-1|tfcD	17q25.3
6950	TCP1	essential_core	CCT-alpha|CCT1|CCTa|D6S230E|TCP-1-alpha	6q25.3
7153	TOP2A	essential_core	TOP2|TP2A	17q21.2
7167	TPI1	essential_core	HEL-S-49|TIM|TPI|TPID	12p13.31
7178	TPT1	essential_core	HRF|TCTP|p02|p23	13q14.13
7203	CCT3	essential_core	CCT-gamma|CCTG|PIG48|TCP-1-gamma|TRIC5	1q22
7251	TSG101	essential_core	TSG10|VPS23	11p15.1
7270	TTF1	essential_core	TTF-1|TTF-I	9q34.13
7283	TUBG1	essential_core	CDCBM4|GCP-1|TUBG|TUBGCP1	17q21.2
7307	U2AF1	essential_core	FP793|RN|RNU2AF1|U2AF35|U2AFBP	21q22.3
7311	UBA52	essential_core	CEP52|HUBCEP52|L40|RPL40	19p13.11
7317	UBA1	essential_core	A1S9|A1S9T|A1ST|AMCX1|CFAP124|GXP1|POC20|SMAX2|UBA1A|UBE1|UBE1X	Xp11.3
7329	UBE2I	essential_core	C358B7.1|P18|UBC9	16p13.3
7332	UBE2L3	essential_core	E2-F1|L-UBC|UBCH7|UbcM4	22q11.21
